train_id,stop_order,station_id,arrival,departure
HINOTORI_W_1,1,OSAKA_NAMBA,,06:00
HINOTORI_W_1,2,OSAKA_UEHOMMACHI,06:04,06:05
HINOTORI_W_1,3,TSURUHASHI,06:08,06:09
HINOTORI_W_1,4,YAMATO_YAGI,06:36,06:37
HINOTORI_W_1,5,TSU,07:35,07:36
HINOTORI_W_1,6,KINTETSU_YOKKAICHI,07:50,07:51
HINOTORI_W_1,7,KINTETSU_NAGOYA,08:05,
HINOTORI_W_3,1,OSAKA_NAMBA,,07:00
HINOTORI_W_3,2,OSAKA_UEHOMMACHI,07:04,07:05
HINOTORI_W_3,3,TSURUHASHI,07:08,07:09
HINOTORI_W_3,4,YAMATO_YAGI,07:36,07:37
HINOTORI_W_3,5,TSU,08:35,08:36
HINOTORI_W_3,6,KINTETSU_YOKKAICHI,08:50,08:51
HINOTORI_W_3,7,KINTETSU_NAGOYA,09:05,
HINOTORI_W_5,1,OSAKA_NAMBA,,08:00
HINOTORI_W_5,2,OSAKA_UEHOMMACHI,08:04,08:05
HINOTORI_W_5,3,TSURUHASHI,08:08,08:09
HINOTORI_W_5,4,YAMATO_YAGI,08:36,08:37
HINOTORI_W_5,5,TSU,09:35,09:36
HINOTORI_W_5,6,KINTETSU_YOKKAICHI,09:50,09:51
HINOTORI_W_5,7,KINTETSU_NAGOYA,10:05,
HINOTORI_W_7,1,OSAKA_NAMBA,,09:00
HINOTORI_W_7,2,OSAKA_UEHOMMACHI,09:04,09:05
HINOTORI_W_7,3,TSURUHASHI,09:08,09:09
HINOTORI_W_7,4,YAMATO_YAGI,09:36,09:37
HINOTORI_W_7,5,TSU,10:35,10:36
HINOTORI_W_7,6,KINTETSU_YOKKAICHI,10:50,10:51
HINOTORI_W_7,7,KINTETSU_NAGOYA,11:05,
HINOTORI_W_9,1,OSAKA_NAMBA,,10:00
HINOTORI_W_9,2,OSAKA_UEHOMMACHI,10:04,10:05
HINOTORI_W_9,3,TSURUHASHI,10:08,10:09
HINOTORI_W_9,4,YAMATO_YAGI,10:36,10:37
HINOTORI_W_9,5,TSU,11:35,11:36
HINOTORI_W_9,6,KINTETSU_YOKKAICHI,11:50,11:51
HINOTORI_W_9,7,KINTETSU_NAGOYA,12:05,
HINOTORI_W_11,1,OSAKA_NAMBA,,11:00
HINOTORI_W_11,2,OSAKA_UEHOMMACHI,11:04,11:05
HINOTORI_W_11,3,TSURUHASHI,11:08,11:09
HINOTORI_W_11,4,YAMATO_YAGI,11:36,11:37
HINOTORI_W_11,5,TSU,12:35,12:36
HINOTORI_W_11,6,KINTETSU_YOKKAICHI,12:50,12:51
HINOTORI_W_11,7,KINTETSU_NAGOYA,13:05,
HINOTORI_W_13,1,OSAKA_NAMBA,,12:00
HINOTORI_W_13,2,OSAKA_UEHOMMACHI,12:04,12:05
HINOTORI_W_13,3,TSURUHASHI,12:08,12:09
HINOTORI_W_13,4,YAMATO_YAGI,12:36,12:37
HINOTORI_W_13,5,TSU,13:35,13:36
HINOTORI_W_13,6,KINTETSU_YOKKAICHI,13:50,13:51
HINOTORI_W_13,7,KINTETSU_NAGOYA,14:05,
HINOTORI_W_15,1,OSAKA_NAMBA,,13:00
HINOTORI_W_15,2,OSAKA_UEHOMMACHI,13:04,13:05
HINOTORI_W_15,3,TSURUHASHI,13:08,13:09
HINOTORI_W_15,4,YAMATO_YAGI,13:36,13:37
HINOTORI_W_15,5,TSU,14:35,14:36
HINOTORI_W_15,6,KINTETSU_YOKKAICHI,14:50,14:51
HINOTORI_W_15,7,KINTETSU_NAGOYA,15:05,
HINOTORI_W_17,1,OSAKA_NAMBA,,14:00
HINOTORI_W_17,2,OSAKA_UEHOMMACHI,14:04,14:05
HINOTORI_W_17,3,TSURUHASHI,14:08,14:09
HINOTORI_W_17,4,YAMATO_YAGI,14:36,14:37
HINOTORI_W_17,5,TSU,15:35,15:36
HINOTORI_W_17,6,KINTETSU_YOKKAICHI,15:50,15:51
HINOTORI_W_17,7,KINTETSU_NAGOYA,16:05,
HINOTORI_W_19,1,OSAKA_NAMBA,,15:00
HINOTORI_W_19,2,OSAKA_UEHOMMACHI,15:04,15:05
HINOTORI_W_19,3,TSURUHASHI,15:08,15:09
HINOTORI_W_19,4,YAMATO_YAGI,15:36,15:37
HINOTORI_W_19,5,TSU,16:35,16:36
HINOTORI_W_19,6,KINTETSU_YOKKAICHI,16:50,16:51
HINOTORI_W_19,7,KINTETSU_NAGOYA,17:05,
HINOTORI_W_21,1,OSAKA_NAMBA,,16:00
HINOTORI_W_21,2,OSAKA_UEHOMMACHI,16:04,16:05
HINOTORI_W_21,3,TSURUHASHI,16:08,16:09
HINOTORI_W_21,4,YAMATO_YAGI,16:36,16:37
HINOTORI_W_21,5,TSU,17:35,17:36
